badge_id,name,issuer,description,criteria,alignment,related_badges,competency,skill_level,learningOpportunity,credentialLevel,assessment,employmentOutcome,skillsValidated
B001,Database Management Badge 1,Harvard,Certification in Software Development skills.,Complete an advanced course in Machine Learning.,Cloud Computing,"['B066', 'B010']",Intermediate,Beginner,AI Ethics Masterclass,Certification,Project,Cloud Architect,SQL
B002,AI Ethics Badge 2,Udacity,Certification in Cybersecurity skills.,Complete an advanced course in Data Science.,Machine Learning,"['B067', 'B008', 'B083']",Beginner,Beginner,AI Ethics Masterclass,Certification,Project,Data Analyst,Cloud Computing
B003,DevOps Badge 3,AWS,Certification in Web Development skills.,Complete an advanced course in DevOps.,Machine Learning,"['B051', 'B021', 'B099']",Beginner,Beginner,Cybersecurity Masterclass,Certificate,Hands-on Practical,Data Analyst,SQL
B004,Database Management Badge 4,AWS,Certification in DevOps skills.,Complete an advanced course in Cybersecurity.,AI Ethics,['B062'],Beginner,Beginner,AI Ethics Masterclass,Certificate,Research Paper,Cloud Architect,AI Ethics
B005,Cloud Computing Badge 5,Udacity,Certification in Cloud Computing skills.,Complete an advanced course in Data Science.,Machine Learning,"['B098', 'B089']",Advanced,Intermediate,Programming Masterclass,Microdegree,Quiz,Cybersecurity Specialist,Cybersecurity
B006,Cloud Computing Badge 6,Microsoft,Certification in Programming skills.,Complete an advanced course in Machine Learning.,Cybersecurity,"['B096', 'B091']",Advanced,Intermediate,Cloud Computing Masterclass,Certification,Hands-on Practical,Software Engineer,DevOps
B007,Cybersecurity Badge 7,Coursera,Certification in Machine Learning skills.,Complete an advanced course in Programming.,Cloud Computing,"['B019', 'B077', 'B056']",Advanced,Beginner,Web Development Masterclass,Certification,Hands-on Practical,Data Analyst,Cloud Computing
B008,Data Science Badge 8,Coursera,Certification in Cloud Computing skills.,Complete an advanced course in Database Management.,AI Ethics,['B083'],Beginner,Beginner,Software Development Masterclass,Certificate,Research Paper,Software Engineer,Cloud Computing
B009,Database Management Badge 9,Harvard,Certification in Programming skills.,Complete an advanced course in Software Development.,Programming,['B081'],Advanced,Advanced,Database Management Masterclass,Microdegree,Quiz,Cybersecurity Specialist,SQL
B010,AI Ethics Badge 10,Google,Certification in DevOps skills.,Complete an advanced course in Programming.,Software Development,[],Advanced,Beginner,Software Development Masterclass,Certification,Quiz,Data Analyst,SQL
B011,Data Science Badge 11,Harvard,Certification in Web Development skills.,Complete an advanced course in Data Science.,DevOps,"['B029', 'B006', 'B038']",Intermediate,Intermediate,Programming Masterclass,Certificate,Research Paper,Data Analyst,Python
B012,Database Management Badge 12,IBM,Certification in Data Science skills.,Complete an advanced course in DevOps.,Cybersecurity,[],Advanced,Intermediate,Programming Masterclass,Certification,Research Paper,AI Researcher,Python
B013,Cybersecurity Badge 13,Udacity,Certification in Web Development skills.,Complete an advanced course in Web Development.,Programming,"['B045', 'B084']",Intermediate,Advanced,DevOps Masterclass,Microdegree,Exam,Software Engineer,SQL
B014,Database Management Badge 14,Coursera,Certification in Database Management skills.,Complete an advanced course in Cloud Computing.,Database Management,[],Advanced,Intermediate,Cloud Computing Masterclass,Certificate,Research Paper,Cloud Architect,DevOps
B015,Web Development Badge 15,AWS,Certification in DevOps skills.,Complete an advanced course in AI Ethics.,Software Development,[],Intermediate,Beginner,Web Development Masterclass,Certificate,Research Paper,Data Analyst,AI Ethics
B016,Software Development Badge 16,Harvard,Certification in DevOps skills.,Complete an advanced course in Cloud Computing.,Database Management,['B042'],Intermediate,Advanced,Data Science Masterclass,Certification,Hands-on Practical,Data Analyst,Cybersecurity
B017,Software Development Badge 17,Udacity,Certification in Programming skills.,Complete an advanced course in Web Development.,Web Development,['B072'],Advanced,Advanced,Programming Masterclass,Certification,Project,AI Researcher,Cybersecurity
B018,Database Management Badge 18,Meta,Certification in Programming skills.,Complete an advanced course in Cloud Computing.,Cloud Computing,"['B087', 'B071', 'B092']",Beginner,Beginner,Cloud Computing Masterclass,Microdegree,Quiz,Cloud Architect,Python
B019,Programming Badge 19,AWS,Certification in Web Development skills.,Complete an advanced course in Web Development.,Web Development,['B092'],Intermediate,Intermediate,Cloud Computing Masterclass,Certification,Research Paper,Cybersecurity Specialist,Cloud Computing
B020,Database Management Badge 20,AWS,Certification in Cloud Computing skills.,Complete an advanced course in Cloud Computing.,DevOps,['B080'],Beginner,Advanced,Machine Learning Masterclass,Certificate,Exam,Data Analyst,AI Ethics
B021,Programming Badge 21,Harvard,Certification in Database Management skills.,Complete an advanced course in DevOps.,Machine Learning,"['B065', 'B018', 'B062']",Beginner,Intermediate,AI Ethics Masterclass,Certificate,Hands-on Practical,AI Researcher,Cloud Computing
B022,Data Science Badge 22,Coursera,Certification in Cybersecurity skills.,Complete an advanced course in Machine Learning.,Software Development,"['B019', 'B044']",Beginner,Advanced,Cloud Computing Masterclass,Certificate,Research Paper,Software Engineer,AI Ethics
B023,Machine Learning Badge 23,Google,Certification in Data Science skills.,Complete an advanced course in Programming.,Web Development,['B046'],Beginner,Beginner,Cloud Computing Masterclass,Microdegree,Exam,Data Analyst,DevOps
B024,Software Development Badge 24,IBM,Certification in AI Ethics skills.,Complete an advanced course in DevOps.,DevOps,"['B062', 'B055']",Intermediate,Beginner,Web Development Masterclass,Certificate,Hands-on Practical,Cybersecurity Specialist,Python
B025,Data Science Badge 25,Udacity,Certification in Web Development skills.,Complete an advanced course in Data Science.,AI Ethics,['B041'],Beginner,Intermediate,Machine Learning Masterclass,Microdegree,Quiz,AI Researcher,SQL
B026,DevOps Badge 26,Harvard,Certification in Software Development skills.,Complete an advanced course in Programming.,Web Development,"['B049', 'B057', 'B015']",Intermediate,Beginner,Machine Learning Masterclass,Certification,Project,Data Analyst,Python
B027,Machine Learning Badge 27,IBM,Certification in DevOps skills.,Complete an advanced course in Programming.,Programming,[],Intermediate,Intermediate,Data Science Masterclass,Certificate,Exam,Software Engineer,AI Ethics
B028,Cybersecurity Badge 28,Udacity,Certification in Machine Learning skills.,Complete an advanced course in Software Development.,Web Development,[],Intermediate,Advanced,Cloud Computing Masterclass,Microdegree,Quiz,AI Researcher,SQL
B029,Software Development Badge 29,IBM,Certification in DevOps skills.,Complete an advanced course in Data Science.,Machine Learning,"['B064', 'B094']",Beginner,Beginner,Data Science Masterclass,Microdegree,Project,Software Engineer,Cloud Computing
B030,Database Management Badge 30,AWS,Certification in AI Ethics skills.,Complete an advanced course in Cybersecurity.,Cybersecurity,"['B063', 'B093', 'B004']",Beginner,Advanced,Software Development Masterclass,Certificate,Exam,Data Analyst,Cybersecurity
B031,Software Development Badge 31,AWS,Certification in Software Development skills.,Complete an advanced course in Cybersecurity.,DevOps,['B015'],Beginner,Beginner,Database Management Masterclass,Certification,Quiz,AI Researcher,Cybersecurity
B032,Data Science Badge 32,Microsoft,Certification in Cloud Computing skills.,Complete an advanced course in Web Development.,Database Management,"['B029', 'B013']",Advanced,Intermediate,Programming Masterclass,Certification,Research Paper,Software Engineer,AI Ethics
B033,DevOps Badge 33,AWS,Certification in Web Development skills.,Complete an advanced course in Database Management.,Software Development,['B087'],Intermediate,Beginner,Programming Masterclass,Certificate,Research Paper,AI Researcher,Python
B034,Web Development Badge 34,Google,Certification in Software Development skills.,Complete an advanced course in Cloud Computing.,Programming,"['B064', 'B056', 'B095']",Advanced,Advanced,DevOps Masterclass,Microdegree,Quiz,AI Researcher,Cybersecurity
B035,DevOps Badge 35,IBM,Certification in Data Science skills.,Complete an advanced course in Cloud Computing.,Database Management,"['B055', 'B077', 'B001']",Advanced,Intermediate,Cloud Computing Masterclass,Certification,Project,Cloud Architect,Cybersecurity
B036,Cybersecurity Badge 36,Meta,Certification in Programming skills.,Complete an advanced course in Web Development.,Machine Learning,"['B089', 'B003', 'B009']",Intermediate,Intermediate,DevOps Masterclass,Certificate,Quiz,AI Researcher,Cybersecurity
B037,Web Development Badge 37,Microsoft,Certification in Programming skills.,Complete an advanced course in Software Development.,Database Management,"['B089', 'B019']",Intermediate,Intermediate,Cybersecurity Masterclass,Microdegree,Research Paper,AI Researcher,Cloud Computing
B038,Cybersecurity Badge 38,Udacity,Certification in Web Development skills.,Complete an advanced course in Web Development.,AI Ethics,"['B073', 'B036', 'B071']",Beginner,Advanced,Machine Learning Masterclass,Certification,Research Paper,Cloud Architect,DevOps
B039,DevOps Badge 39,Microsoft,Certification in AI Ethics skills.,Complete an advanced course in Data Science.,Machine Learning,"['B093', 'B095', 'B076']",Beginner,Beginner,AI Ethics Masterclass,Microdegree,Project,AI Researcher,AI Ethics
B040,Software Development Badge 40,Google,Certification in Cloud Computing skills.,Complete an advanced course in Programming.,AI Ethics,['B005'],Intermediate,Beginner,Data Science Masterclass,Certification,Research Paper,Software Engineer,Cloud Computing
B041,Cloud Computing Badge 41,IBM,Certification in Programming skills.,Complete an advanced course in Cybersecurity.,Data Science,['B090'],Intermediate,Beginner,Cloud Computing Masterclass,Certification,Hands-on Practical,AI Researcher,Cloud Computing
B042,Cloud Computing Badge 42,Google,Certification in Cybersecurity skills.,Complete an advanced course in AI Ethics.,Programming,['B033'],Advanced,Intermediate,Web Development Masterclass,Certification,Quiz,AI Researcher,DevOps
B043,Cybersecurity Badge 43,Google,Certification in Web Development skills.,Complete an advanced course in Web Development.,Machine Learning,"['B020', 'B052']",Beginner,Beginner,Web Development Masterclass,Certification,Quiz,Software Engineer,Cybersecurity
B044,Machine Learning Badge 44,Harvard,Certification in Cybersecurity skills.,Complete an advanced course in Machine Learning.,AI Ethics,[],Beginner,Advanced,AI Ethics Masterclass,Microdegree,Exam,Cybersecurity Specialist,DevOps
B045,Machine Learning Badge 45,Meta,Certification in Cloud Computing skills.,Complete an advanced course in Database Management.,Machine Learning,"['B060', 'B057']",Advanced,Intermediate,Programming Masterclass,Microdegree,Project,Data Analyst,AI Ethics
B046,Machine Learning Badge 46,Coursera,Certification in Web Development skills.,Complete an advanced course in DevOps.,Database Management,[],Intermediate,Advanced,Data Science Masterclass,Microdegree,Research Paper,Software Engineer,Cloud Computing
B047,Cloud Computing Badge 47,IBM,Certification in Web Development skills.,Complete an advanced course in Programming.,AI Ethics,[],Advanced,Intermediate,Software Development Masterclass,Microdegree,Hands-on Practical,AI Researcher,Cloud Computing
B048,Data Science Badge 48,Meta,Certification in Machine Learning skills.,Complete an advanced course in Programming.,Data Science,['B086'],Intermediate,Advanced,Software Development Masterclass,Microdegree,Quiz,Cybersecurity Specialist,DevOps
B049,Programming Badge 49,Harvard,Certification in DevOps skills.,Complete an advanced course in Software Development.,AI Ethics,"['B069', 'B047']",Intermediate,Beginner,Software Development Masterclass,Microdegree,Exam,Cloud Architect,Python
B050,Web Development Badge 50,Meta,Certification in Web Development skills.,Complete an advanced course in Web Development.,Database Management,['B080'],Advanced,Beginner,Web Development Masterclass,Microdegree,Hands-on Practical,Cybersecurity Specialist,SQL
B051,Cloud Computing Badge 51,Meta,Certification in Database Management skills.,Complete an advanced course in Cloud Computing.,AI Ethics,"['B088', 'B001']",Advanced,Advanced,Web Development Masterclass,Certificate,Research Paper,Software Engineer,DevOps
B052,Web Development Badge 52,Udacity,Certification in Programming skills.,Complete an advanced course in Cloud Computing.,Data Science,['B055'],Advanced,Intermediate,Machine Learning Masterclass,Certification,Hands-on Practical,Cloud Architect,AI Ethics
B053,Web Development Badge 53,IBM,Certification in Machine Learning skills.,Complete an advanced course in Cloud Computing.,Database Management,"['B002', 'B046']",Advanced,Beginner,Cloud Computing Masterclass,Certification,Hands-on Practical,Cybersecurity Specialist,DevOps
B054,AI Ethics Badge 54,Microsoft,Certification in DevOps skills.,Complete an advanced course in Cloud Computing.,Cybersecurity,['B083'],Beginner,Beginner,Cloud Computing Masterclass,Certification,Hands-on Practical,Cybersecurity Specialist,Cybersecurity
B055,Cloud Computing Badge 55,Udacity,Certification in Web Development skills.,Complete an advanced course in DevOps.,Database Management,"['B074', 'B092']",Beginner,Beginner,DevOps Masterclass,Certificate,Quiz,Software Engineer,AI Ethics
B056,Data Science Badge 56,Udacity,Certification in Web Development skills.,Complete an advanced course in Database Management.,Web Development,"['B012', 'B076']",Intermediate,Beginner,Cloud Computing Masterclass,Microdegree,Hands-on Practical,AI Researcher,DevOps
B057,Cloud Computing Badge 57,IBM,Certification in Web Development skills.,Complete an advanced course in Machine Learning.,Cybersecurity,[],Advanced,Advanced,Machine Learning Masterclass,Certificate,Hands-on Practical,Software Engineer,Cloud Computing
B058,Machine Learning Badge 58,IBM,Certification in Database Management skills.,Complete an advanced course in DevOps.,Data Science,[],Intermediate,Advanced,Database Management Masterclass,Certificate,Exam,AI Researcher,DevOps
B059,Database Management Badge 59,Microsoft,Certification in Programming skills.,Complete an advanced course in Software Development.,Cloud Computing,[],Intermediate,Beginner,Cybersecurity Masterclass,Certification,Quiz,Cloud Architect,AI Ethics
B060,Programming Badge 60,IBM,Certification in Programming skills.,Complete an advanced course in Cybersecurity.,Software Development,"['B024', 'B051']",Beginner,Beginner,Data Science Masterclass,Certificate,Hands-on Practical,Software Engineer,Python
B061,Programming Badge 61,AWS,Certification in Data Science skills.,Complete an advanced course in Database Management.,Software Development,[],Advanced,Intermediate,Cloud Computing Masterclass,Microdegree,Hands-on Practical,Software Engineer,Python
B062,Cybersecurity Badge 62,Meta,Certification in AI Ethics skills.,Complete an advanced course in Cloud Computing.,AI Ethics,"['B035', 'B085', 'B019']",Beginner,Advanced,Machine Learning Masterclass,Certificate,Project,Cybersecurity Specialist,Cloud Computing
B063,Machine Learning Badge 63,Udacity,Certification in Database Management skills.,Complete an advanced course in Programming.,Cloud Computing,[],Beginner,Advanced,Machine Learning Masterclass,Certificate,Exam,Software Engineer,DevOps
B064,Database Management Badge 64,Google,Certification in Machine Learning skills.,Complete an advanced course in Programming.,Machine Learning,[],Intermediate,Advanced,AI Ethics Masterclass,Certificate,Research Paper,Cybersecurity Specialist,AI Ethics
B065,DevOps Badge 65,Google,Certification in Software Development skills.,Complete an advanced course in Database Management.,DevOps,"['B062', 'B016', 'B066']",Beginner,Beginner,Programming Masterclass,Certification,Research Paper,Cloud Architect,Cloud Computing
B066,Cybersecurity Badge 66,AWS,Certification in Cloud Computing skills.,Complete an advanced course in Software Development.,AI Ethics,"['B063', 'B071', 'B024']",Advanced,Advanced,Data Science Masterclass,Certification,Project,AI Researcher,Python
B067,DevOps Badge 67,Udacity,Certification in Web Development skills.,Complete an advanced course in Web Development.,DevOps,"['B086', 'B074']",Beginner,Intermediate,Machine Learning Masterclass,Microdegree,Project,Data Analyst,DevOps
B068,Data Science Badge 68,AWS,Certification in Programming skills.,Complete an advanced course in Database Management.,AI Ethics,"['B013', 'B069']",Advanced,Advanced,DevOps Masterclass,Certification,Research Paper,Software Engineer,DevOps
B069,Database Management Badge 69,Google,Certification in Programming skills.,Complete an advanced course in Programming.,Programming,['B035'],Intermediate,Beginner,Data Science Masterclass,Certification,Project,Cybersecurity Specialist,Cloud Computing
B070,Software Development Badge 70,AWS,Certification in Cloud Computing skills.,Complete an advanced course in Database Management.,Web Development,"['B067', 'B023']",Advanced,Intermediate,Database Management Masterclass,Certificate,Research Paper,Cybersecurity Specialist,Cybersecurity
B071,AI Ethics Badge 71,Coursera,Certification in Software Development skills.,Complete an advanced course in Database Management.,Machine Learning,"['B021', 'B009']",Advanced,Advanced,Machine Learning Masterclass,Microdegree,Hands-on Practical,Data Analyst,DevOps
B072,Data Science Badge 72,Microsoft,Certification in Machine Learning skills.,Complete an advanced course in Cloud Computing.,Software Development,"['B015', 'B002']",Intermediate,Beginner,Cloud Computing Masterclass,Certification,Quiz,Cloud Architect,Cloud Computing
B073,Web Development Badge 73,Coursera,Certification in Cybersecurity skills.,Complete an advanced course in Machine Learning.,Cybersecurity,[],Beginner,Advanced,Cybersecurity Masterclass,Certificate,Hands-on Practical,Data Analyst,Cybersecurity
B074,Cloud Computing Badge 74,IBM,Certification in Data Science skills.,Complete an advanced course in DevOps.,AI Ethics,['B010'],Intermediate,Advanced,Programming Masterclass,Certificate,Quiz,Data Analyst,Cybersecurity
B075,Data Science Badge 75,Harvard,Certification in DevOps skills.,Complete an advanced course in Database Management.,Cybersecurity,"['B081', 'B053']",Advanced,Advanced,Database Management Masterclass,Certificate,Research Paper,Cloud Architect,Python
B076,Data Science Badge 76,Udacity,Certification in Database Management skills.,Complete an advanced course in Web Development.,Cybersecurity,['B038'],Advanced,Advanced,DevOps Masterclass,Microdegree,Research Paper,Data Analyst,DevOps
B077,Cloud Computing Badge 77,Harvard,Certification in Software Development skills.,Complete an advanced course in Programming.,Software Development,"['B008', 'B069', 'B046']",Beginner,Beginner,DevOps Masterclass,Microdegree,Exam,Software Engineer,Cloud Computing
B078,Cybersecurity Badge 78,Udacity,Certification in Machine Learning skills.,Complete an advanced course in Cybersecurity.,Programming,"['B092', 'B088', 'B017']",Intermediate,Advanced,Web Development Masterclass,Certification,Exam,AI Researcher,DevOps
B079,Machine Learning Badge 79,Udacity,Certification in Cybersecurity skills.,Complete an advanced course in Cloud Computing.,DevOps,['B045'],Advanced,Advanced,Machine Learning Masterclass,Certification,Exam,Software Engineer,SQL
B080,Web Development Badge 80,Microsoft,Certification in Cybersecurity skills.,Complete an advanced course in AI Ethics.,Data Science,"['B062', 'B076', 'B049']",Beginner,Advanced,Cybersecurity Masterclass,Certification,Exam,Cybersecurity Specialist,AI Ethics
B081,Database Management Badge 81,Coursera,Certification in DevOps skills.,Complete an advanced course in Machine Learning.,Cloud Computing,['B050'],Beginner,Advanced,Data Science Masterclass,Certification,Exam,Cloud Architect,Cloud Computing
B082,DevOps Badge 82,IBM,Certification in Cloud Computing skills.,Complete an advanced course in Data Science.,DevOps,"['B062', 'B017', 'B039']",Intermediate,Advanced,Data Science Masterclass,Certificate,Research Paper,Software Engineer,Python
B083,Data Science Badge 83,IBM,Certification in Machine Learning skills.,Complete an advanced course in Cybersecurity.,Web Development,"['B062', 'B035', 'B030']",Beginner,Advanced,AI Ethics Masterclass,Microdegree,Hands-on Practical,Cloud Architect,Python
B084,Programming Badge 84,Google,Certification in Machine Learning skills.,Complete an advanced course in Software Development.,Programming,[],Beginner,Intermediate,Data Science Masterclass,Certificate,Project,Cloud Architect,Python
B085,Database Management Badge 85,AWS,Certification in Cybersecurity skills.,Complete an advanced course in Programming.,Database Management,"['B098', 'B038']",Advanced,Beginner,AI Ethics Masterclass,Certification,Research Paper,AI Researcher,Cybersecurity
B086,Data Science Badge 86,Google,Certification in Cloud Computing skills.,Complete an advanced course in DevOps.,Cloud Computing,['B016'],Advanced,Advanced,Cloud Computing Masterclass,Certificate,Exam,AI Researcher,SQL
B087,DevOps Badge 87,IBM,Certification in Cloud Computing skills.,Complete an advanced course in DevOps.,Cloud Computing,[],Advanced,Advanced,Database Management Masterclass,Certification,Hands-on Practical,Data Analyst,DevOps
B088,Cybersecurity Badge 88,Microsoft,Certification in Machine Learning skills.,Complete an advanced course in DevOps.,Programming,"['B076', 'B054', 'B084']",Intermediate,Advanced,Cloud Computing Masterclass,Microdegree,Project,Cloud Architect,DevOps
B089,Cloud Computing Badge 89,Udacity,Certification in Database Management skills.,Complete an advanced course in AI Ethics.,Machine Learning,"['B072', 'B053']",Intermediate,Beginner,Data Science Masterclass,Microdegree,Research Paper,Cybersecurity Specialist,DevOps
B090,Data Science Badge 90,Microsoft,Certification in Machine Learning skills.,Complete an advanced course in Cybersecurity.,Cloud Computing,"['B035', 'B058', 'B004']",Advanced,Advanced,Database Management Masterclass,Certificate,Hands-on Practical,Cloud Architect,SQL
B091,Machine Learning Badge 91,Microsoft,Certification in Web Development skills.,Complete an advanced course in Programming.,Machine Learning,[],Advanced,Beginner,Web Development Masterclass,Microdegree,Project,Software Engineer,Python
B092,Cloud Computing Badge 92,Udacity,Certification in Software Development skills.,Complete an advanced course in Machine Learning.,Cloud Computing,[],Beginner,Advanced,Data Science Masterclass,Microdegree,Research Paper,Software Engineer,Python
B093,Programming Badge 93,AWS,Certification in Data Science skills.,Complete an advanced course in Machine Learning.,Software Development,"['B030', 'B089']",Advanced,Advanced,Data Science Masterclass,Certificate,Hands-on Practical,Cloud Architect,Cloud Computing
B094,Programming Badge 94,Harvard,Certification in DevOps skills.,Complete an advanced course in Programming.,DevOps,[],Advanced,Intermediate,Software Development Masterclass,Certification,Exam,Software Engineer,Python
B095,DevOps Badge 95,AWS,Certification in Cybersecurity skills.,Complete an advanced course in Programming.,Cybersecurity,[],Intermediate,Intermediate,Web Development Masterclass,Certification,Exam,Cybersecurity Specialist,Cybersecurity
B096,Software Development Badge 96,Microsoft,Certification in Data Science skills.,Complete an advanced course in Machine Learning.,DevOps,['B091'],Beginner,Advanced,Data Science Masterclass,Microdegree,Quiz,Cybersecurity Specialist,AI Ethics
B097,Data Science Badge 97,Meta,Certification in Database Management skills.,Complete an advanced course in Software Development.,Machine Learning,[],Intermediate,Advanced,DevOps Masterclass,Microdegree,Project,Cybersecurity Specialist,AI Ethics
B098,Programming Badge 98,Harvard,Certification in Programming skills.,Complete an advanced course in Programming.,DevOps,"['B090', 'B060']",Advanced,Advanced,Machine Learning Masterclass,Certificate,Quiz,AI Researcher,Python
B099,Programming Badge 99,Microsoft,Certification in Software Development skills.,Complete an advanced course in Cloud Computing.,Web Development,"['B098', 'B024']",Intermediate,Beginner,Machine Learning Masterclass,Certificate,Exam,Cybersecurity Specialist,Cybersecurity
B100,DevOps Badge 100,Meta,Certification in AI Ethics skills.,Complete an advanced course in Database Management.,Web Development,[],Advanced,Advanced,Cloud Computing Masterclass,Certificate,Exam,Data Analyst,Cloud Computing
